"|","|__Title","|__Year","|__Rated","|__Released","|__Runtime","|__Genre","|__Director","|__Writer","|__Actors","|__Plot","|__Language","|__Country","|__Awards","|__Poster","|__Ratings__Source","|__Ratings__Value","|__Metascore","|__imdbRating","|__imdbVotes","|__imdbID","|__Type","|__DVD","|__BoxOffice","|__Production","|__Website","|__Response","|__Error","|__totalSeasons"
"738","A Slipping-Down Life","1999","R","22 Jan 1999","109 min","Drama, Music, Romance","Toni Kalem","Anne Tyler (based on the novel by), Toni Kalem (written for the screen by)","Lili Taylor, Guy Pearce, Irma P. Hall, Tom Bower","A shy, young woman, living a sheltered life in a small southern town, embarks on a journey to self-awareness when she falls in love with an eccentric rock star.","English","USA","2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BMTIwNjExMDk1N15BMl5BanBnXkFtZTcwNjA4NDUyMQ@@._V1_SX300.jpg","Internet Movie Database","6.2/10","44","6.2","1,004","tt0162662","movie","N/A","N/A","DVC Entertainment","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","26%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","44/100","","","","","","","","","","","",""
"739","Treading Water","2001","N/A","15 Jun 2001","94 min","Drama","Lauren Himmelvo","Lauren Himmelvo, Julia Hollinger","Angie Redman, Nina Landey, Annette Miller, Robert Harte","Casey has rejected her privileged upbringing and restores old boats for a living. She lives with her beautiful social worker girlfriend Alex in what seems like a cozy new life until her ...","English","USA","4 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMTIwMTI5MTc3N15BMl5BanBnXkFtZTcwMDAwMTgxMQ@@._V1_SX300.jpg","Internet Movie Database","5.7/10","N/A","5.7","389","tt0287045","movie","N/A","N/A","Tunnel Vision Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","37%","","","","","","","","","","","",""
"740","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"742","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"743","Widows' Peak","1994","PG","13 May 1994","101 min","Comedy, Crime, Mystery, Thriller","John Irvin","Hugh Leonard (story), Hugh Leonard (screenplay)","Mia Farrow, Joan Plowright, Natasha Richardson, Adrian Dunbar","Edwina has just moved into the neighborhood known as ""Widows' Peak,"" so called due to the prevalent marital status of the residents, who tend to be a rather exclusive bunch. The residents ...","Irish, English","UK, Ireland","2 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMTIwOTA3Nzg4NF5BMl5BanBnXkFtZTcwOTUwMjgyMQ@@._V1_SX300.jpg","Internet Movie Database","6.7/10","N/A","6.7","1,495","tt0111712","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","94%","","","","","","","","","","","",""
"744","Hot War","1998","N/A","24 Dec 1998","93 min","Thriller","Jingle Ma","Sek-Hong Chan (story), Siu Man Chow, Chi-Leung Law, Yuen-Leung Poon","Ekin Cheng, Jordan Chan, Kelly Chen, Terence Yin","N/A","Cantonese","Hong Kong","4 nominations.","https://m.media-amazon.com/images/M/MV5BNjQwNTU3OTE2Nl5BMl5BanBnXkFtZTcwOTg4NjgxMQ@@._V1_SX300.jpg","Internet Movie Database","5.5/10","N/A","5.5","313","tt0181582","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","21%","","","","","","","","","","","",""
"746","Domestic Disturbance","2001","PG-13","02 Nov 2001","89 min","Crime, Thriller","Harold Becker","Lewis Colick (story), William S. Comanor (story), Gary Drucker (story), Lewis Colick (screenplay)","John Travolta, Matt O'Leary, Ruben Santiago-Hudson, Vince Vaughn","When Danny witnesses his stepfather Rick murder a man, Danny's father Frank has to protect his son from the greatest danger.","English","USA","1 win & 3 nominations.","https://m.media-amazon.com/images/M/MV5BNGI0YTcyYTItYTA0Ni00ZTlkLWI2NTUtZWFhYmVjZGFmOGMwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg","Internet Movie Database","5.6/10","29","5.6","24,212","tt0249478","movie","N/A","N/A","Paramount Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","24%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","29/100","","","","","","","","","","","",""
"748","I Can Do Bad All by Myself","2002","Not Rated","01 Sep 2002","141 min","Comedy","Tyler Perry","Tyler Perry","Tyga Graham, Kisha Grandy, David Mann, Tamela J. Mann","Madea's family comes to see her while she's sick, however it's the rest of the family that needs help. Her granddaughter Maylee has dumped her daughter, Keisha off on her sister, Vianne, ...","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTI1ODg5MzA0MF5BMl5BanBnXkFtZTcwMTc5MDQ4Mg@@._V1_SX300.jpg","Internet Movie Database","4.5/10","N/A","4.5","1,088","tt0483268","movie","28 Jun 2005","N/A","LionsGate Entertainment","N/A","True","",""
"749","Ernest Goes to Jail","1990","PG","06 Apr 1990","81 min","Comedy, Crime, Family","John R. Cherry III","Charlie Cohen","Jim Varney, Gailard Sartain, Bill Byrge, Barbara Tyson","Bank janitor Ernest P. Worrell is called to jury duty and soon finds himself in trouble when the lookalike defendant's attorney arranges a switch and has Ernest sent to prison in his client's place.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BYTU3MzYyYTEtYWI1NS00MTJlLWE3NDMtYzI4ODUzMGY1ODk1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg","Internet Movie Database","5.4/10","40","5.4","8,783","tt0099512","movie","N/A","N/A","Touchstone Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","13%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","40/100","","","","","","","","","","","",""
"750","The Librarian: Quest for the Spear","2004","Not Rated","05 Dec 2004","92 min","Action, Adventure, Comedy, Drama, Fantasy, Romance, Thriller","Peter Winther","David N. Titcher","Noah Wyle, Sonya Walger, Bob Newhart, Kyle MacLachlan","A bookworm becomes the librarian. Same night a magical spear gets stolen and he's off to get some real life experience around the globe on his quest for the spear - starting with being thrown off a plane over Amazonas by his cute helper.","English, French, Latin, Mongolian, Portuguese","USA, Germany","7 nominations.","https://m.media-amazon.com/images/M/MV5BMTIzMzMyMTg1OV5BMl5BanBnXkFtZTcwNjMxNjcyMQ@@._V1_SX300.jpg","Internet Movie Database","6.3/10","N/A","6.3","18,226","tt0412915","movie","N/A","N/A","Electric Entertainment, Turner Network Television","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","60%","","","","","","","","","","","",""
"751","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"752","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"754","The Lonely Guy","1984","R","27 Jan 1984","90 min","Comedy, Romance","Arthur Hiller","Ed. Weinberger (screenplay), Stan Daniels (screenplay), Neil Simon (adaptation), Bruce Jay Friedman (book)","Steve Martin, Charles Grodin, Judith Ivey, Steve Lawrence","A writer for a greeting card company discovers the struggles and tribulations of living alone after breaking up with his unfaithful girlfriend.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BOTI2ZmQ3ODktYjE2MS00NmVjLTk1MGYtYWYxNmRiMzdlZDI0XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg","Internet Movie Database","6.3/10","45","6.3","6,553","tt0087635","movie","N/A","N/A","Universal Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","48%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","45/100","","","","","","","","","","","",""
"755","Music Box","1989","PG-13","19 Jan 1990","124 min","Crime, Drama, Thriller","Costa-Gavras","Joe Eszterhas","Jessica Lange, Armin Mueller-Stahl, Frederic Forrest, Donald Moffat","A lawyer defends her father accused of war crimes, but there is more to the case than she suspects.","English, Hungarian","USA","Nominated for 1 Oscar. Another 1 win & 2 nominations.","https://m.media-amazon.com/images/M/MV5BNDE3NjgxZWMtZGFhZC00NzMxLWE0MTEtYzI2N2Y2MmMzN2E3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg","Internet Movie Database","7.4/10","N/A","7.4","6,689","tt0100211","movie","N/A","N/A","Carolco Pictures Inc.","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","72%","","","","","","","","","","","",""
"757","Sherlock Hound","1984–1985","N/A","06 Nov 1984","24 min","Animation, Comedy, Crime, Family","N/A","N/A","Taichirô Hirokawa, Kôsei Tomita, Yôko Asagami, Patricia Parris","The adventures of the canine detective Sherlock Hound and his loyal companions Dr. Watson, Mrs. Hudson and Inspector Lestrade.","Italian, English, Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BNjI2MWJhZDctZTZjYy00ZmYzLWFiMzMtNzI3Mzk5ZTUzNDc0XkEyXkFqcGdeQXVyNzMwOTY2NTI@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","1,226","tt0088109","series","","","","","True","","1"
"758","Mean Girls","2004","PG-13","30 Apr 2004","97 min","Comedy","Mark Waters","Rosalind Wiseman (book), Tina Fey (screenplay)","Lindsay Lohan, Rachel McAdams, Tina Fey, Tim Meadows","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.","English, German, Vietnamese, Swahili","USA, Canada","7 wins & 25 nominations.","https://m.media-amazon.com/images/M/MV5BMjE1MDQ4MjI1OV5BMl5BanBnXkFtZTcwNzcwODAzMw@@._V1_SX300.jpg","Internet Movie Database","7.0/10","66","7.0","327,949","tt0377092","movie","N/A","N/A","Paramount Pictures, M.G.Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","84%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","66/100","","","","","","","","","","","",""
"759","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"760","Pooh's Heffalump Movie","2005","G","11 Feb 2005","68 min","Animation, Comedy, Family, Fantasy, Musical, Mystery","Frank Nissen","Brian Hohlfeld (screenplay), Evan Spiliotopoulos (screenplay), A.A. Milne (characters)","Jim Cummings, John Fiedler, Nikita Hopkins, Kath Soucie","When Roo sets off on his own into the Hundred Acre Wood, he discovers a friendly and playful Heffalump named Lumpy.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTUyOTk5MDM4N15BMl5BanBnXkFtZTcwMTM0NDcyMQ@@._V1_SX300.jpg","Internet Movie Database","6.4/10","64","6.4","6,315","tt0407121","movie","N/A","N/A","DisneyToon Studios","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","80%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","64/100","","","","","","","","","","","",""
"761","O Fantasma","2000","Unrated","20 Oct 2000","87 min","Drama","João Pedro Rodrigues","João Pedro Rodrigues, José Neves, Paulo Rebelo, Alexandre Melo","Ricardo Meneses, Beatriz Torcato, Andre Barbosa, Eurico Vieira","Young and handsome Sergio works the night shift as a trash collector in Lisbon, Portugal. He can't force himself to connect with his pretty female co-worker Fatima, who displays an avid ...","Portuguese","Portugal","2 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BZjE1NzA2MDgtMmYxZi00ZTAwLWFkYmYtOWJhOGEwOGMwNGI1XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg","Internet Movie Database","5.8/10","36","5.8","2,899","tt0239381","movie","N/A","N/A","Paramount","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","25%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","36/100","","","","","","","","","","","",""
"763","The Poseidon Adventure","1972","PG","13 Dec 1972","117 min","Action, Adventure, Drama, Thriller","Ronald Neame","Paul Gallico (novel), Stirling Silliphant (screenplay by), Wendell Mayes (screenplay by)","Gene Hackman, Ernest Borgnine, Red Buttons, Carol Lynley","Nine people explore a cruise ship at sea in a manner that turns their whole lives upside down.","English, Hebrew","USA","Won 1 Oscar. Another 4 wins & 13 nominations.","https://m.media-amazon.com/images/M/MV5BYmM0ZDRkZGEtNTFmNS00MDg1LThkNWItZmU1NmM1OGM0NTU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","7.1/10","70","7.1","40,284","tt0069113","movie","N/A","N/A","Twentieth Century Fox","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","80%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","70/100","","","","","","","","","","","",""
"766","A Hole in the Head","1959","Approved","15 Jul 1959","120 min","Comedy, Drama","Frank Capra","Arnold Schulman (screenplay), Arnold Schulman (play)","Frank Sinatra, Edward G. Robinson, Eleanor Parker, Carolyn Jones","Widower Tony is trying to keep a small Miami hotel afloat while raising a 12-year-old son. He's forced to ask his harried brother Mario for help, but he'll only bail Tony out if he quits his bohemian lifestyle and marries a sensible woman.","English","USA","Won 1 Oscar. Another 3 nominations.","https://m.media-amazon.com/images/M/MV5BMTc3NDg1MzU3N15BMl5BanBnXkFtZTcwMjY2NzE0NA@@._V1_SX300.jpg","Internet Movie Database","6.3/10","N/A","6.3","2,261","tt0052896","movie","N/A","N/A","SinCap Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","75%","","","","","","","","","","","",""
"767","Edges of the Lord","2001","R","12 Oct 2001","95 min","Crime, Drama, Romance, War","Yurek Bogayevicz","Yurek Bogayevicz","Haley Joel Osment, Willem Dafoe, Richard Banel, Liam Hess","A twelve-year-old Jewish boy hides with a family of Catholic peasant farmers to escape the Nazis.","English","USA, Poland","1 win & 6 nominations.","https://m.media-amazon.com/images/M/MV5BMTgyNDA2MDY2Ml5BMl5BanBnXkFtZTcwODE1MzMzMQ@@._V1_SX300.jpg","Internet Movie Database","6.8/10","N/A","6.8","3,304","tt0245090","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","72%","","","","","","","","","","","",""
"768","The Star Maker","1995","R","08 Mar 1996","113 min","Drama, Romance","Giuseppe Tornatore","Giuseppe Tornatore (story), Fabio Rinaudo (screenplay), Giuseppe Tornatore (screenplay)","Sergio Castellitto, Tiziana Lodato, Franco Scaldati, Leopoldo Trieste","A photographer and the types of people he encounters.","Italian, Sicilian, Spanish","Italy","Nominated for 1 Oscar. Another 13 wins & 15 nominations.","https://m.media-amazon.com/images/M/MV5BYjFlMGJkNGEtYmYyNS00NDI1LWEyMDctOTBjNDQ2MGYxMDZlXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","Internet Movie Database","7.4/10","N/A","7.4","4,671","tt0114808","movie","N/A","N/A","Cecchi Gori Group Tiger Cinema","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","75%","","","","","","","","","","","",""
"769","The Crawling Eye","1958","Unrated","31 Dec 1958","84 min","Horror, Sci-Fi","Quentin Lawrence","Jimmy Sangster (screenplay), Peter Key (story)","Forrest Tucker, Laurence Payne, Jennifer Jayne, Janet Munro","A series of decapitations on a Swiss mountainside appear to be connected to a mysterious radioactive cloud.","English","UK","N/A","https://m.media-amazon.com/images/M/MV5BMmYyYzk2MDItYjZlOS00YTk3LWE5NzUtYmNmZDJhNTVlNGMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjEwMTA0NTc@._V1_SX300.jpg","Internet Movie Database","5.1/10","N/A","5.1","3,345","tt0052320","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","63%","","","","","","","","","","","",""
"770","A Perfect Candidate","1996","N/A","19 Apr 1996","105 min","Documentary","R.J. Cutler, David Van Taylor","N/A","Don Baker, Mark Goodin, Mark Merritt, Peter Baker","The filmmakers follow Oliver North's unsuccessful 1994 bid for a Virginia Senate seat, focusing on North's campaign strategist, Mark Goodin, and a Washington Post reporter. Mudslinging ...","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTMzMjgyMjI2N15BMl5BanBnXkFtZTcwMzg1NTUyMQ@@._V1_SX300.jpg","Internet Movie Database","7.2/10","N/A","7.2","255","tt0117320","movie","N/A","N/A","Arpie Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","88%","","","","","","","","","","","",""
"772","Gloria Estefan: Don't Stop","1998","N/A","N/A","70 min","Documentary, Music","Mo Fitzgibbon","Mo Fitzgibbon","Gloria Estefan","N/A","English, Spanish","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTg2MTYyNTQwNV5BMl5BanBnXkFtZTcwNDkxNTgxMQ@@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","16","tt0194919","movie","N/A","N/A","N/A","N/A","True","",""
"773","He Died with a Felafel in His Hand","2001","Not Rated","30 Aug 2001","107 min","Comedy, Romance","Richard Lowenstein","John Birmingham (novel), Richard Lowenstein","Noah Taylor, Emily Hamilton, Romane Bohringer, Alex Menglet","A nightmare chase through hell in a never-ending, unrequited daisy chain of desire...","English","Australia, Italy","1 win & 3 nominations.","https://m.media-amazon.com/images/M/MV5BMTI0NjE0MDQxMl5BMl5BanBnXkFtZTcwMzc0MjA0MQ@@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","3,335","tt0172543","movie","N/A","N/A","Fandango","N/A","True","",""
